TrainAccuracy,TrainLoss,TestAccuracy,TestLoss,EpochTime,TotalTime
30.17,2.0544335911273954,40.73,1.7838635444641113,31.920450687408447,31.9207501411438
47.915,1.5685097951889038,49.02,1.4335177364349365,31.405011653900146,63.32586908340454
58.050000000000004,1.2432779009342194,62.06,1.1210405039787292,32.64464974403381,95.97144222259521
64.9975,1.0352938593626022,57.91,1.190937246799469,33.03411149978638,129.00564527511597
70.3425,0.8831317014694214,63.31,1.043484516620636,32.98456788063049,161.99030900001526
74.375,0.7637333502173423,62.86000000000001,1.0691759819984437,33.01877164840698,195.0091986656189
78.46,0.647464461505413,70.14,0.8564151964187622,32.98160123825073,227.99089360237122
81.95750000000001,0.551530582010746,68.93,0.9379965076446534,32.98707842826843,260.97883129119873
84.6625,0.4681314447820187,75.87,0.7101383595466614,32.99717307090759,293.9761004447937
87.69749999999999,0.38474109447002414,75.08,0.7343372395038604,32.97193169593811,326.94813442230225
90.265,0.3143526904582977,71.74000000000001,0.8736022968292236,32.97661375999451,359.92484283447266
92.5,0.24768955124914646,67.45,1.1130065670013427,32.962974071502686,392.88790917396545
94.82000000000001,0.18275933462381364,69.58,1.048388032913208,32.98184394836426,425.87063241004944
96.81,0.12700359082221985,69.73,1.0370139961242675,32.977065563201904,458.84780645370483
98.4025,0.08102479860931634,79.03999999999999,0.6672342848777771,32.98356652259827,491.8314719200134
99.25,0.04918529910966754,77.99000000000001,0.717491039276123,32.97424626350403,524.8058128356934
99.7775,0.027302349679172038,80.23,0.6367549993991852,32.99173974990845,557.7976689338684
99.965,0.01493401961028576,80.62,0.6413320107460022,33.004314661026,590.8026850223541
99.99,0.010379653211683035,81.28999999999999,0.611462457895279,32.97513222694397,623.7779152393341
100.0,0.007344769034069032,81.49,0.6097271111011505,33.029428005218506,656.8074464797974
100.0,0.006621886849869043,81.94,0.6031508377790451,33.01023817062378,689.817798614502
99.995,0.005840009063482285,81.64,0.6102755219936371,32.9944269657135,722.8123230934143
99.99749999999999,0.004763601081678644,81.89,0.6008469063043594,32.996575593948364,755.8097794055939
100.0,0.004362305875169113,81.95,0.6041479802131653,32.961188554763794,788.7711219787598
100.0,0.0036658882403280586,81.91000000000001,0.6058366675376892,32.98788022994995,821.7591018676758
99.99749999999999,0.0038000902135390787,81.38,0.6330369126796722,32.98974347114563,854.7489442825317
100.0,0.003482638115528971,81.76,0.6136825559139252,32.95841312408447,887.7074542045593
100.0,0.0029954516389407216,81.77,0.6231676862239838,33.03392481803894,920.742259979248
99.99749999999999,0.00304200622276403,81.81,0.61804030585289,32.99567723274231,953.7380394935608
99.99749999999999,0.0030501423389650882,81.81,0.6207650673389434,32.961079835891724,986.6992304325104
100.0,0.0026896392656490208,81.94,0.620411856174469,32.99549436569214,1019.6948285102844
100.0,0.0024774996512569487,82.05,0.6204917893409729,32.97722768783569,1052.6721682548523
